,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name
34,0.439,0.383,2,-7.494,1,0.0265,0.279,0.000613,0.385,0.103,139.937,audio_features,1wnPcTvlgJLGBO1pe9DQj4,spotify:track:1wnPcTvlgJLGBO1pe9DQj4,https://api.spotify.com/v1/tracks/1wnPcTvlgJLGBO1pe9DQj4,https://api.spotify.com/v1/audio-analysis/1wnPcTvlgJLGBO1pe9DQj4,257133,4,Beautiful Stranger
35,0.623,0.848,5,-5.422,1,0.0839,0.134,0.000136,0.11,0.268,103.994,audio_features,4iQL5pIhMjKAS6feGjaw5t,spotify:track:4iQL5pIhMjKAS6feGjaw5t,https://api.spotify.com/v1/tracks/4iQL5pIhMjKAS6feGjaw5t,https://api.spotify.com/v1/audio-analysis/4iQL5pIhMjKAS6feGjaw5t,183736,4,Us
36,0.633,0.878,9,-3.571,1,0.0451,0.379,0.0,0.0746,0.718,137.967,audio_features,3PqpjQPv4ciXBsPBT6rRtm,spotify:track:3PqpjQPv4ciXBsPBT6rRtm,https://api.spotify.com/v1/tracks/3PqpjQPv4ciXBsPBT6rRtm,https://api.spotify.com/v1/audio-analysis/3PqpjQPv4ciXBsPBT6rRtm,241667,4,Strip It Down
37,0.493,0.643,0,-5.19,1,0.0299,0.512,2.43e-05,0.209,0.3,144.704,audio_features,3XKbdb9GB6u3hsnUklQTav,spotify:track:3XKbdb9GB6u3hsnUklQTav,https://api.spotify.com/v1/tracks/3XKbdb9GB6u3hsnUklQTav,https://api.spotify.com/v1/audio-analysis/3XKbdb9GB6u3hsnUklQTav,321640,4,Then
38,0.349,0.486,11,-7.232,1,0.0289,0.693,1.73e-06,0.122,0.158,101.053,audio_features,3Rkk851fZjIsglV2jbBPDd,spotify:track:3Rkk851fZjIsglV2jbBPDd,https://api.spotify.com/v1/tracks/3Rkk851fZjIsglV2jbBPDd,https://api.spotify.com/v1/audio-analysis/3Rkk851fZjIsglV2jbBPDd,257360,3,Humble And Kind
39,0.617,0.632,8,-5.381,1,0.0371,0.0675,0.0,0.108,0.564,151.988,audio_features,5ZManJDV3CexO66nRCkdiV,spotify:track:5ZManJDV3CexO66nRCkdiV,https://api.spotify.com/v1/tracks/5ZManJDV3CexO66nRCkdiV,https://api.spotify.com/v1/audio-analysis/5ZManJDV3CexO66nRCkdiV,207733,4,Break Up with Him
40,0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,audio_features,5kNe7PE09d6Kvw5pAsx23n,spotify:track:5kNe7PE09d6Kvw5pAsx23n,https://api.spotify.com/v1/tracks/5kNe7PE09d6Kvw5pAsx23n,https://api.spotify.com/v1/audio-analysis/5kNe7PE09d6Kvw5pAsx23n,227427,4,Die A Happy Man
41,0.579,0.776,8,-5.365,1,0.173,0.0749,0.0,0.239,0.434,136.044,audio_features,7aftSOGSOpSoIlVAQVBb71,spotify:track:7aftSOGSOpSoIlVAQVBb71,https://api.spotify.com/v1/tracks/7aftSOGSOpSoIlVAQVBb71,https://api.spotify.com/v1/audio-analysis/7aftSOGSOpSoIlVAQVBb71,229880,4,Break Up In A Small Town
42,0.387,0.768,7,-3.654,1,0.029,0.0017,2.74e-06,0.306,0.527,171.794,audio_features,5vqu1ypiHCb4NakEl2q0zT,spotify:track:5vqu1ypiHCb4NakEl2q0zT,https://api.spotify.com/v1/tracks/5vqu1ypiHCb4NakEl2q0zT,https://api.spotify.com/v1/audio-analysis/5vqu1ypiHCb4NakEl2q0zT,194048,4,The Whiskey Will
43,0.508,0.333,11,-11.509,0,0.0305,0.81,0.0,0.19,0.195,74.458,audio_features,0ZDArGfb0fQ3sX9nT8L3Vj,spotify:track:0ZDArGfb0fQ3sX9nT8L3Vj,https://api.spotify.com/v1/tracks/0ZDArGfb0fQ3sX9nT8L3Vj,https://api.spotify.com/v1/audio-analysis/0ZDArGfb0fQ3sX9nT8L3Vj,259893,4,Whiskey Lullaby
44,0.602,0.79,8,-4.46,1,0.0355,0.026,7.43e-05,0.162,0.274,108.008,audio_features,5r00wpsojd4mBYaQFDvni7,spotify:track:5r00wpsojd4mBYaQFDvni7,https://api.spotify.com/v1/tracks/5r00wpsojd4mBYaQFDvni7,https://api.spotify.com/v1/audio-analysis/5r00wpsojd4mBYaQFDvni7,259080,4,Roller Coaster
45,0.646,0.724,9,-6.96,1,0.0265,0.017,1.39e-06,0.153,0.54,115.984,audio_features,0p1HtkrNYxv0iDfEKwXSTp,spotify:track:0p1HtkrNYxv0iDfEKwXSTp,https://api.spotify.com/v1/tracks/0p1HtkrNYxv0iDfEKwXSTp,https://api.spotify.com/v1/audio-analysis/0p1HtkrNYxv0iDfEKwXSTp,233480,4,Sangria
46,0.366,0.651,4,-3.842,1,0.031,0.000415,0.00526,0.271,0.257,151.343,audio_features,1nVLAEzhBXMJLR5zAl90Nl,spotify:track:1nVLAEzhBXMJLR5zAl90Nl,https://api.spotify.com/v1/tracks/1nVLAEzhBXMJLR5zAl90Nl,https://api.spotify.com/v1/audio-analysis/1nVLAEzhBXMJLR5zAl90Nl,200707,3,Crazy Girl
47,0.432,0.738,2,-3.91,1,0.0309,0.042,0.0,0.119,0.503,153.712,audio_features,3OZVqx1YsqDDkxQ6TnmHtn,spotify:track:3OZVqx1YsqDDkxQ6TnmHtn,https://api.spotify.com/v1/tracks/3OZVqx1YsqDDkxQ6TnmHtn,https://api.spotify.com/v1/audio-analysis/3OZVqx1YsqDDkxQ6TnmHtn,191907,4,Ain't Worth the Whiskey
48,0.616,0.596,4,-5.035,1,0.0289,0.654,0.0,0.218,0.58,137.077,audio_features,1YWM2rkA6Aqto0v08edz44,spotify:track:1YWM2rkA6Aqto0v08edz44,https://api.spotify.com/v1/tracks/1YWM2rkA6Aqto0v08edz44,https://api.spotify.com/v1/audio-analysis/1YWM2rkA6Aqto0v08edz44,204200,4,Big Green Tractor
49,0.569,0.638,9,-6.779,1,0.0331,0.254,0.0,0.126,0.376,96.954,audio_features,6KJJRtYnLI5FOf9taz2ntN,spotify:track:6KJJRtYnLI5FOf9taz2ntN,https://api.spotify.com/v1/tracks/6KJJRtYnLI5FOf9taz2ntN,https://api.spotify.com/v1/audio-analysis/6KJJRtYnLI5FOf9taz2ntN,196082,4,Looking Back
50,0.613,0.664,4,-6.835,1,0.0283,0.334,1.93e-05,0.11,0.513,130.034,audio_features,1HwAeValR9dJzAf8Erlv3s,spotify:track:1HwAeValR9dJzAf8Erlv3s,https://api.spotify.com/v1/tracks/1HwAeValR9dJzAf8Erlv3s,https://api.spotify.com/v1/audio-analysis/1HwAeValR9dJzAf8Erlv3s,220347,4,Came Here to Forget
51,0.57,0.642,7,-6.396,1,0.0277,0.000699,0.0,0.0801,0.457,144.019,audio_features,6zDaopn1sO8WUDTNdV8EdT,spotify:track:6zDaopn1sO8WUDTNdV8EdT,https://api.spotify.com/v1/tracks/6zDaopn1sO8WUDTNdV8EdT,https://api.spotify.com/v1/audio-analysis/6zDaopn1sO8WUDTNdV8EdT,199893,4,Somewhere On A Beach
52,0.58,0.798,5,-5.672,1,0.0437,0.0112,4.18e-05,0.0851,0.475,147.89,audio_features,0sR0quV56ck47K2C7WBg5V,spotify:track:0sR0quV56ck47K2C7WBg5V,https://api.spotify.com/v1/tracks/0sR0quV56ck47K2C7WBg5V,https://api.spotify.com/v1/audio-analysis/0sR0quV56ck47K2C7WBg5V,213387,4,Pick Up
53,0.526,0.661,7,-3.828,0,0.0333,0.361,0.0,0.087,0.556,78.132,audio_features,19PJf5HzeiVW0mdk82Swmn,spotify:track:19PJf5HzeiVW0mdk82Swmn,https://api.spotify.com/v1/tracks/19PJf5HzeiVW0mdk82Swmn,https://api.spotify.com/v1/audio-analysis/19PJf5HzeiVW0mdk82Swmn,196960,4,H.O.L.Y.
54,0.429,0.324,7,-7.771,1,0.0287,0.501,0.0,0.0796,0.144,150.096,audio_features,2JO7hWJoFVNA9NgI6o9pnA,spotify:track:2JO7hWJoFVNA9NgI6o9pnA,https://api.spotify.com/v1/tracks/2JO7hWJoFVNA9NgI6o9pnA,https://api.spotify.com/v1/audio-analysis/2JO7hWJoFVNA9NgI6o9pnA,276880,3,The Driver
55,0.465,0.608,4,-6.311,1,0.0286,0.204,4.1e-06,0.151,0.601,118.001,audio_features,2obZvSIyRA0MnD6ccDKjvH,spotify:track:2obZvSIyRA0MnD6ccDKjvH,https://api.spotify.com/v1/tracks/2obZvSIyRA0MnD6ccDKjvH,https://api.spotify.com/v1/audio-analysis/2obZvSIyRA0MnD6ccDKjvH,270160,4,Taste
56,0.528,0.759,2,-4.874,1,0.0264,0.0565,0.0,0.11,0.547,89.927,audio_features,60UpYVsYj2ytkFay5Rgeg1,spotify:track:60UpYVsYj2ytkFay5Rgeg1,https://api.spotify.com/v1/tracks/60UpYVsYj2ytkFay5Rgeg1,https://api.spotify.com/v1/audio-analysis/60UpYVsYj2ytkFay5Rgeg1,212507,4,Love You All over Again
57,0.616,0.893,11,-3.588,1,0.0375,0.000937,0.0,0.111,0.567,111.959,audio_features,6W9W8dSswA8KNegvl3W97V,spotify:track:6W9W8dSswA8KNegvl3W97V,https://api.spotify.com/v1/tracks/6W9W8dSswA8KNegvl3W97V,https://api.spotify.com/v1/audio-analysis/6W9W8dSswA8KNegvl3W97V,218947,4,Think of You
58,0.62,0.764,8,-6.757,1,0.0314,0.38,0.000154,0.112,0.461,86.996,audio_features,3W5GXbS3ugsYjx1X0xBNbL,spotify:track:3W5GXbS3ugsYjx1X0xBNbL,https://api.spotify.com/v1/tracks/3W5GXbS3ugsYjx1X0xBNbL,https://api.spotify.com/v1/audio-analysis/3W5GXbS3ugsYjx1X0xBNbL,209253,4,Break On Me
59,0.5,0.963,8,-1.147,1,0.108,0.0891,0.0,0.0871,0.562,161.933,audio_features,2phomyGUWSjrHUXzbsYv17,spotify:track:2phomyGUWSjrHUXzbsYv17,https://api.spotify.com/v1/tracks/2phomyGUWSjrHUXzbsYv17,https://api.spotify.com/v1/audio-analysis/2phomyGUWSjrHUXzbsYv17,190800,4,Home Alone Tonight
60,0.449,0.903,9,-5.512,1,0.181,0.0374,0.0,0.891,0.542,173.924,audio_features,0OAsUPA8qPzP0Qmo5iMr54,spotify:track:0OAsUPA8qPzP0Qmo5iMr54,https://api.spotify.com/v1/tracks/0OAsUPA8qPzP0Qmo5iMr54,https://api.spotify.com/v1/audio-analysis/0OAsUPA8qPzP0Qmo5iMr54,224026,4,Gonna Know We Were Here
61,0.612,0.863,1,-4.258,1,0.0426,0.0582,0.0,0.0823,0.637,121.963,audio_features,1lNVii0jj5Sa1leKSYWMNl,spotify:track:1lNVii0jj5Sa1leKSYWMNl,https://api.spotify.com/v1/tracks/1lNVii0jj5Sa1leKSYWMNl,https://api.spotify.com/v1/audio-analysis/1lNVii0jj5Sa1leKSYWMNl,186240,4,Little Bit of You
62,0.47,0.79,2,-5.352,1,0.039,0.0216,0.0,0.0863,0.495,158.061,audio_features,4wFUdSCer8bdQsrp1M90sa,spotify:track:4wFUdSCer8bdQsrp1M90sa,https://api.spotify.com/v1/tracks/4wFUdSCer8bdQsrp1M90sa,https://api.spotify.com/v1/audio-analysis/4wFUdSCer8bdQsrp1M90sa,276880,4,Highway Don't Care
63,0.592,0.585,2,-8.052,1,0.0389,0.0116,0.000187,0.0795,0.129,120.062,audio_features,4KoQJOaILlKt6QsZDdDwz2,spotify:track:4KoQJOaILlKt6QsZDdDwz2,https://api.spotify.com/v1/tracks/4KoQJOaILlKt6QsZDdDwz2,https://api.spotify.com/v1/audio-analysis/4KoQJOaILlKt6QsZDdDwz2,209248,4,Strutter
64,0.515,0.726,9,-4.332,1,0.0361,0.254,3.01e-06,0.106,0.66,76.981,audio_features,69guyOwpeKji5OY8wMdsDI,spotify:track:69guyOwpeKji5OY8wMdsDI,https://api.spotify.com/v1/tracks/69guyOwpeKji5OY8wMdsDI,https://api.spotify.com/v1/audio-analysis/69guyOwpeKji5OY8wMdsDI,197947,4,My Church
65,0.687,0.648,4,-9.137,1,0.027,0.314,1.37e-06,0.289,0.6,121.341,audio_features,0e05wFNr6zg1ULcp4NKs1p,spotify:track:0e05wFNr6zg1ULcp4NKs1p,https://api.spotify.com/v1/tracks/0e05wFNr6zg1ULcp4NKs1p,https://api.spotify.com/v1/audio-analysis/0e05wFNr6zg1ULcp4NKs1p,204333,4,Two Dozen Roses
66,0.673,0.842,3,-4.627,1,0.0366,0.06,0.000257,0.178,0.898,125.57,audio_features,09qzRI951OVkXGCc33gzcT,spotify:track:09qzRI951OVkXGCc33gzcT,https://api.spotify.com/v1/tracks/09qzRI951OVkXGCc33gzcT,https://api.spotify.com/v1/audio-analysis/09qzRI951OVkXGCc33gzcT,208107,4,My Maria
67,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,audio_features,03fT3OHB9KyMtGMt2zwqCT,spotify:track:03fT3OHB9KyMtGMt2zwqCT,https://api.spotify.com/v1/tracks/03fT3OHB9KyMtGMt2zwqCT,https://api.spotify.com/v1/audio-analysis/03fT3OHB9KyMtGMt2zwqCT,226867,4,Play It Again
68,0.483,0.844,2,-5.043,1,0.0314,0.00481,7.29e-05,0.405,0.543,151.977,audio_features,0w9LJae3sVlZlH2CnxTInF,spotify:track:0w9LJae3sVlZlH2CnxTInF,https://api.spotify.com/v1/tracks/0w9LJae3sVlZlH2CnxTInF,https://api.spotify.com/v1/audio-analysis/0w9LJae3sVlZlH2CnxTInF,229533,4,God Gave Me You
69,0.441,0.644,11,-5.774,1,0.0363,0.56,0.0,0.109,0.349,141.733,audio_features,1qjl8UJtWTHrk4SFpwftSN,spotify:track:1qjl8UJtWTHrk4SFpwftSN,https://api.spotify.com/v1/tracks/1qjl8UJtWTHrk4SFpwftSN,https://api.spotify.com/v1/audio-analysis/1qjl8UJtWTHrk4SFpwftSN,220173,4,Tomorrow
70,0.466,0.702,0,-4.308,1,0.032,0.0983,1.29e-05,0.242,0.47,150.309,audio_features,4u7KjVIQPdzGCcAwg4W5Kl,spotify:track:4u7KjVIQPdzGCcAwg4W5Kl,https://api.spotify.com/v1/tracks/4u7KjVIQPdzGCcAwg4W5Kl,https://api.spotify.com/v1/audio-analysis/4u7KjVIQPdzGCcAwg4W5Kl,191573,4,Who I Am With You
71,0.489,0.498,7,-5.055,1,0.0259,0.635,1.91e-06,0.0915,0.248,141.883,audio_features,5zMRkxgFscsPItPsMy4ItS,spotify:track:5zMRkxgFscsPItPsMy4ItS,https://api.spotify.com/v1/tracks/5zMRkxgFscsPItPsMy4ItS,https://api.spotify.com/v1/audio-analysis/5zMRkxgFscsPItPsMy4ItS,207213,4,The Man I Want to Be
72,0.639,0.678,7,-5.02,1,0.0278,0.44,1.45e-06,0.221,0.531,106.966,audio_features,28Sc21lrWcZD9Ov4rRkPJq,spotify:track:28Sc21lrWcZD9Ov4rRkPJq,https://api.spotify.com/v1/tracks/28Sc21lrWcZD9Ov4rRkPJq,https://api.spotify.com/v1/audio-analysis/28Sc21lrWcZD9Ov4rRkPJq,212133,4,Gettin' You Home
73,0.659,0.64,1,-6.581,1,0.0393,0.27,0.000239,0.117,0.54,120.045,audio_features,46mjjL1IFIHSSmx9S3RJy5,spotify:track:46mjjL1IFIHSSmx9S3RJy5,https://api.spotify.com/v1/tracks/46mjjL1IFIHSSmx9S3RJy5,https://api.spotify.com/v1/audio-analysis/46mjjL1IFIHSSmx9S3RJy5,211160,4,Black
74,0.375,0.562,11,-8.328,0,0.114,0.552,0.0,0.0952,0.386,168.003,audio_features,4RXeKPaD8DpNnfEVLLaUVu,spotify:track:4RXeKPaD8DpNnfEVLLaUVu,https://api.spotify.com/v1/tracks/4RXeKPaD8DpNnfEVLLaUVu,https://api.spotify.com/v1/audio-analysis/4RXeKPaD8DpNnfEVLLaUVu,210600,4,I'll Be The Moon
75,0.538,0.733,4,-5.641,1,0.0296,0.136,0.0,0.289,0.756,165.102,audio_features,7fsPB1closugEnkKgSMw1W,spotify:track:7fsPB1closugEnkKgSMw1W,https://api.spotify.com/v1/tracks/7fsPB1closugEnkKgSMw1W,https://api.spotify.com/v1/audio-analysis/7fsPB1closugEnkKgSMw1W,197548,4,Still Ridin Shotgun
76,0.639,0.678,7,-5.02,1,0.0278,0.44,1.45e-06,0.221,0.531,106.966,audio_features,28Sc21lrWcZD9Ov4rRkPJq,spotify:track:28Sc21lrWcZD9Ov4rRkPJq,https://api.spotify.com/v1/tracks/28Sc21lrWcZD9Ov4rRkPJq,https://api.spotify.com/v1/audio-analysis/28Sc21lrWcZD9Ov4rRkPJq,212133,4,Gettin' You Home
77,0.616,0.596,4,-5.035,1,0.0289,0.654,0.0,0.218,0.58,137.077,audio_features,1YWM2rkA6Aqto0v08edz44,spotify:track:1YWM2rkA6Aqto0v08edz44,https://api.spotify.com/v1/tracks/1YWM2rkA6Aqto0v08edz44,https://api.spotify.com/v1/audio-analysis/1YWM2rkA6Aqto0v08edz44,204200,4,Big Green Tractor
78,0.602,0.79,8,-4.46,1,0.0355,0.026,7.43e-05,0.162,0.274,108.008,audio_features,5r00wpsojd4mBYaQFDvni7,spotify:track:5r00wpsojd4mBYaQFDvni7,https://api.spotify.com/v1/tracks/5r00wpsojd4mBYaQFDvni7,https://api.spotify.com/v1/audio-analysis/5r00wpsojd4mBYaQFDvni7,259080,4,Roller Coaster
79,0.613,0.664,4,-6.835,1,0.0283,0.334,1.93e-05,0.11,0.513,130.034,audio_features,1HwAeValR9dJzAf8Erlv3s,spotify:track:1HwAeValR9dJzAf8Erlv3s,https://api.spotify.com/v1/tracks/1HwAeValR9dJzAf8Erlv3s,https://api.spotify.com/v1/audio-analysis/1HwAeValR9dJzAf8Erlv3s,220347,4,Came Here to Forget
