,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name
76,0.721,0.918,10,-5.125,0,0.455,0.0459,0.0,0.156,0.795,179.726,audio_features,24CA5I411NVDYodjjmKPx3,spotify:track:24CA5I411NVDYodjjmKPx3,https://api.spotify.com/v1/tracks/24CA5I411NVDYodjjmKPx3,https://api.spotify.com/v1/audio-analysis/24CA5I411NVDYodjjmKPx3,214547,4,Kick in the Door - 2008 Remaster
77,0.721,0.662,7,-8.136,1,0.403,0.0888,0.0,0.178,0.68,94.191,audio_features,1xIxMz1sNQ4b6svH1GuTtF,spotify:track:1xIxMz1sNQ4b6svH1GuTtF,https://api.spotify.com/v1/tracks/1xIxMz1sNQ4b6svH1GuTtF,https://api.spotify.com/v1/audio-analysis/1xIxMz1sNQ4b6svH1GuTtF,285947,4,Gimme the Loot - 2005 Remaster
78,0.725,0.64,5,-7.905,0,0.332,0.0281,0.0,0.099,0.915,166.028,audio_features,6glsMWIMIxQ4BedzLqGVi4,spotify:track:6glsMWIMIxQ4BedzLqGVi4,https://api.spotify.com/v1/tracks/6glsMWIMIxQ4BedzLqGVi4,https://api.spotify.com/v1/audio-analysis/6glsMWIMIxQ4BedzLqGVi4,240027,3,"So Fresh, So Clean"
79,0.797,0.852,0,-2.234,1,0.172,0.0432,3.97e-06,0.409,0.674,95.416,audio_features,09EwNbGvUyu7BDEYG0cJro,spotify:track:09EwNbGvUyu7BDEYG0cJro,https://api.spotify.com/v1/tracks/09EwNbGvUyu7BDEYG0cJro,https://api.spotify.com/v1/audio-analysis/09EwNbGvUyu7BDEYG0cJro,330760,4,Can't C Me
80,0.861,0.638,10,-3.878,0,0.323,0.0516,0.00224,0.065,0.765,95.012,audio_features,3dSGqXMll4UJUohLANG0ce,spotify:track:3dSGqXMll4UJUohLANG0ce,https://api.spotify.com/v1/tracks/3dSGqXMll4UJUohLANG0ce,https://api.spotify.com/v1/audio-analysis/3dSGqXMll4UJUohLANG0ce,281600,4,Do For Love
81,0.753,0.749,1,-6.132,0,0.316,0.0285,0.0,0.0845,0.832,93.79,audio_features,32W1K50AaXGXoRBn3Zyax4,spotify:track:32W1K50AaXGXoRBn3Zyax4,https://api.spotify.com/v1/tracks/32W1K50AaXGXoRBn3Zyax4,https://api.spotify.com/v1/audio-analysis/32W1K50AaXGXoRBn3Zyax4,246440,4,Mathematics
82,0.669,0.352,6,-10.863,1,0.105,0.534,0.0,0.352,0.624,201.037,audio_features,271Mzpm6ZnEcmxlUvOkGLz,spotify:track:271Mzpm6ZnEcmxlUvOkGLz,https://api.spotify.com/v1/tracks/271Mzpm6ZnEcmxlUvOkGLz,https://api.spotify.com/v1/audio-analysis/271Mzpm6ZnEcmxlUvOkGLz,249966,3,The Weed Song
83,0.874,0.391,10,-15.109,0,0.112,0.229,0.767,0.338,0.5,98.88,audio_features,0l2o1LkTeVh7uQfePoXs7c,spotify:track:0l2o1LkTeVh7uQfePoXs7c,https://api.spotify.com/v1/tracks/0l2o1LkTeVh7uQfePoXs7c,https://api.spotify.com/v1/audio-analysis/0l2o1LkTeVh7uQfePoXs7c,262333,4,Cock the Hammer
84,0.645,0.705,1,-5.008,1,0.299,0.000813,0.0,0.128,0.376,137.133,audio_features,51rXHuKN8Loc4sUlKPODgH,spotify:track:51rXHuKN8Loc4sUlKPODgH,https://api.spotify.com/v1/tracks/51rXHuKN8Loc4sUlKPODgH,https://api.spotify.com/v1/audio-analysis/51rXHuKN8Loc4sUlKPODgH,229670,4,"King's Dead (with Kendrick Lamar, Future & James Blake)"
85,0.902,0.597,1,-5.814,1,0.575,0.197,3.4e-05,0.308,0.219,88.733,audio_features,13N31D8yFuN4JeYYR7veY6,spotify:track:13N31D8yFuN4JeYYR7veY6,https://api.spotify.com/v1/tracks/13N31D8yFuN4JeYYR7veY6,https://api.spotify.com/v1/audio-analysis/13N31D8yFuN4JeYYR7veY6,321293,4,Respect - 2005 Remaster
86,0.632,0.786,9,-5.596,1,0.354,0.0415,1.2e-05,0.0527,0.699,94.499,audio_features,1FK0sZfZzCAIDUn7htCemp,spotify:track:1FK0sZfZzCAIDUn7htCemp,https://api.spotify.com/v1/tracks/1FK0sZfZzCAIDUn7htCemp,https://api.spotify.com/v1/audio-analysis/1FK0sZfZzCAIDUn7htCemp,296467,4,Clap Back
87,0.601,0.422,10,-13.364,0,0.518,0.21,0.0,0.0839,0.563,132.456,audio_features,6OtlkByM64FzhICejC8TaY,spotify:track:6OtlkByM64FzhICejC8TaY,https://api.spotify.com/v1/tracks/6OtlkByM64FzhICejC8TaY,https://api.spotify.com/v1/audio-analysis/6OtlkByM64FzhICejC8TaY,226987,3,Ready or Not
88,0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998,audio_features,2wGSgTmgSF3xjRrHkTc25R,spotify:track:2wGSgTmgSF3xjRrHkTc25R,https://api.spotify.com/v1/tracks/2wGSgTmgSF3xjRrHkTc25R,https://api.spotify.com/v1/audio-analysis/2wGSgTmgSF3xjRrHkTc25R,206400,4,Hate It Or Love It
89,0.726,0.398,4,-12.767,0,0.241,0.213,0.155,0.127,0.536,91.599,audio_features,4sAHukt0TkE08mpMNgNwcp,spotify:track:4sAHukt0TkE08mpMNgNwcp,https://api.spotify.com/v1/tracks/4sAHukt0TkE08mpMNgNwcp,https://api.spotify.com/v1/audio-analysis/4sAHukt0TkE08mpMNgNwcp,255200,4,I Got Cha Opin
90,0.754,0.833,1,-4.781,1,0.242,0.0642,3.31e-05,0.0404,0.693,96.739,audio_features,4PP2xWRX6Rdnr32IgjBUAw,spotify:track:4PP2xWRX6Rdnr32IgjBUAw,https://api.spotify.com/v1/tracks/4PP2xWRX6Rdnr32IgjBUAw,https://api.spotify.com/v1/audio-analysis/4PP2xWRX6Rdnr32IgjBUAw,147080,4,Deep Cover
91,0.648,0.895,10,-3.187,1,0.28,0.195,0.00132,0.0335,0.817,82.122,audio_features,6SMrWEWukd0DWh5iHGWgks,spotify:track:6SMrWEWukd0DWh5iHGWgks,https://api.spotify.com/v1/tracks/6SMrWEWukd0DWh5iHGWgks,https://api.spotify.com/v1/audio-analysis/6SMrWEWukd0DWh5iHGWgks,297227,4,Dead Wrong (feat. Eminem) - 2007 Remaster
92,0.711,0.871,2,-4.32,1,0.294,0.398,1.69e-06,0.171,0.912,91.153,audio_features,3PA9dH8cT0wR5UW4XkC44Y,spotify:track:3PA9dH8cT0wR5UW4XkC44Y,https://api.spotify.com/v1/tracks/3PA9dH8cT0wR5UW4XkC44Y,https://api.spotify.com/v1/audio-analysis/3PA9dH8cT0wR5UW4XkC44Y,274440,4,Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster
93,0.503,0.693,10,-6.026,0,0.219,0.199,0.0,0.077,0.743,80.542,audio_features,2zZ51zxWKnpSKOFSjGeIdx,spotify:track:2zZ51zxWKnpSKOFSjGeIdx,https://api.spotify.com/v1/tracks/2zZ51zxWKnpSKOFSjGeIdx,https://api.spotify.com/v1/audio-analysis/2zZ51zxWKnpSKOFSjGeIdx,347267,4,"Hustler's Story (feat. Scarface, Akon & Big Gee)"
94,0.807,0.726,2,-5.017,1,0.184,0.103,0.0,0.297,0.713,106.356,audio_features,6h9N19LonRj0ZsVa60APmh,spotify:track:6h9N19LonRj0ZsVa60APmh,https://api.spotify.com/v1/tracks/6h9N19LonRj0ZsVa60APmh,https://api.spotify.com/v1/audio-analysis/6h9N19LonRj0ZsVa60APmh,286200,4,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2007 Remaster"
95,0.592,0.858,9,-3.871,1,0.27,0.382,0.0,0.172,0.531,84.366,audio_features,1eYMV8fZO3R7ZlOgVQ57GF,spotify:track:1eYMV8fZO3R7ZlOgVQ57GF,https://api.spotify.com/v1/tracks/1eYMV8fZO3R7ZlOgVQ57GF,https://api.spotify.com/v1/audio-analysis/1eYMV8fZO3R7ZlOgVQ57GF,291707,4,Niggas Bleed - 2007 Remaster
96,0.832,0.757,7,-4.908,1,0.135,0.029,0.0,0.463,0.449,95.905,audio_features,37zQVgP3aTLKNvluXLB5Ii,spotify:track:37zQVgP3aTLKNvluXLB5Ii,https://api.spotify.com/v1/tracks/37zQVgP3aTLKNvluXLB5Ii,https://api.spotify.com/v1/audio-analysis/37zQVgP3aTLKNvluXLB5Ii,314720,4,Picture Me Rollin'
97,0.803,0.784,11,-5.97,0,0.198,0.0012,0.000161,0.0794,0.801,90.185,audio_features,13XHuE00ElL5thSxkaEXxK,spotify:track:13XHuE00ElL5thSxkaEXxK,https://api.spotify.com/v1/tracks/13XHuE00ElL5thSxkaEXxK,https://api.spotify.com/v1/audio-analysis/13XHuE00ElL5thSxkaEXxK,296907,4,Only God Can Judge Me
98,0.934,0.735,1,-6.668,1,0.251,0.031,8.6e-06,0.107,0.768,101.368,audio_features,3NGT0Td7H4Is1qrlDQJxma,spotify:track:3NGT0Td7H4Is1qrlDQJxma,https://api.spotify.com/v1/tracks/3NGT0Td7H4Is1qrlDQJxma,https://api.spotify.com/v1/audio-analysis/3NGT0Td7H4Is1qrlDQJxma,273107,4,Check Yo Self - Remix
99,0.636,0.517,0,-6.759,1,0.36,0.00402,0.0,0.0874,0.394,139.928,audio_features,4cGeMgLcykDLAazHFpbZbU,spotify:track:4cGeMgLcykDLAazHFpbZbU,https://api.spotify.com/v1/tracks/4cGeMgLcykDLAazHFpbZbU,https://api.spotify.com/v1/audio-analysis/4cGeMgLcykDLAazHFpbZbU,185947,4,DNA.
100,0.78,0.926,6,-3.913,0,0.284,0.224,6.22e-05,0.136,0.781,91.627,audio_features,5qBfyjlx8U9Jgi4l1YOe4C,spotify:track:5qBfyjlx8U9Jgi4l1YOe4C,https://api.spotify.com/v1/tracks/5qBfyjlx8U9Jgi4l1YOe4C,https://api.spotify.com/v1/audio-analysis/5qBfyjlx8U9Jgi4l1YOe4C,220040,4,Unbelievable - 2007 Remaster
101,0.612,0.846,8,-5.728,1,0.544,0.061,0.0,0.314,0.797,173.812,audio_features,4xtq6uY0ofikksLWN37pT4,spotify:track:4xtq6uY0ofikksLWN37pT4,https://api.spotify.com/v1/tracks/4xtq6uY0ofikksLWN37pT4,https://api.spotify.com/v1/audio-analysis/4xtq6uY0ofikksLWN37pT4,203947,4,Ten Crack Commandments - 2007 Remaster
102,0.725,0.68,0,-6.037,1,0.224,0.149,0.0,0.127,0.695,90.964,audio_features,7fXhkARAtS66kxexMIAx8O,spotify:track:7fXhkARAtS66kxexMIAx8O,https://api.spotify.com/v1/tracks/7fXhkARAtS66kxexMIAx8O,https://api.spotify.com/v1/audio-analysis/7fXhkARAtS66kxexMIAx8O,268707,4,One More Chance / Stay with Me - Remix; 2007 Remaster
103,0.771,0.865,6,-6.15,1,0.368,0.232,7.08e-06,0.0909,0.372,85.94,audio_features,0QfbuZrjcfyS8HqQ8d8xcs,spotify:track:0QfbuZrjcfyS8HqQ8d8xcs,https://api.spotify.com/v1/tracks/0QfbuZrjcfyS8HqQ8d8xcs,https://api.spotify.com/v1/audio-analysis/0QfbuZrjcfyS8HqQ8d8xcs,219227,4,Warning - 2007 Remaster
104,0.824,0.73,11,-5.183,0,0.247,0.202,0.0,0.442,0.625,91.743,audio_features,2kM3gIkHRiikiaIUFk3Fje,spotify:track:2kM3gIkHRiikiaIUFk3Fje,https://api.spotify.com/v1/tracks/2kM3gIkHRiikiaIUFk3Fje,https://api.spotify.com/v1/audio-analysis/2kM3gIkHRiikiaIUFk3Fje,316507,4,Who Shot Ya? - 2007 Remaster
105,0.746,0.717,10,-5.788,0,0.127,0.189,0.0,0.0704,0.475,109.754,audio_features,67yGTWcR72BZvsrSS2dHST,spotify:track:67yGTWcR72BZvsrSS2dHST,https://api.spotify.com/v1/tracks/67yGTWcR72BZvsrSS2dHST,https://api.spotify.com/v1/audio-analysis/67yGTWcR72BZvsrSS2dHST,209547,4,Here I Am
106,0.916,0.717,1,-5.007,0,0.26,0.0978,0.0,0.131,0.815,101.292,audio_features,0bwmYdUFwNwqDwFkxEnfIN,spotify:track:0bwmYdUFwNwqDwFkxEnfIN,https://api.spotify.com/v1/tracks/0bwmYdUFwNwqDwFkxEnfIN,https://api.spotify.com/v1/audio-analysis/0bwmYdUFwNwqDwFkxEnfIN,191987,4,Notorious B.I.G. (feat. Lil' Kim & Puff Daddy) - 2007 Remaster
107,0.738,0.782,11,-6.315,0,0.169,0.143,6.4e-06,0.176,0.654,154.875,audio_features,1ozdRCYFVt8Ui0dba1520D,spotify:track:1ozdRCYFVt8Ui0dba1520D,https://api.spotify.com/v1/tracks/1ozdRCYFVt8Ui0dba1520D,https://api.spotify.com/v1/audio-analysis/1ozdRCYFVt8Ui0dba1520D,367227,4,Notorious Thugs (feat. Bone Thugs-n-Harmony) - 2007 Remaster
108,0.859,0.792,2,-4.007,1,0.141,0.065,0.0,0.3,0.766,103.201,audio_features,7HFl64GKBtPTa5YoW7j4jL,spotify:track:7HFl64GKBtPTa5YoW7j4jL,https://api.spotify.com/v1/tracks/7HFl64GKBtPTa5YoW7j4jL,https://api.spotify.com/v1/audio-analysis/7HFl64GKBtPTa5YoW7j4jL,276813,4,All About U
109,0.875,0.658,0,-3.641,1,0.359,0.275,0.0,0.122,0.661,92.038,audio_features,1RjU7UhRICmdFPKxCucLgq,spotify:track:1RjU7UhRICmdFPKxCucLgq,https://api.spotify.com/v1/tracks/1RjU7UhRICmdFPKxCucLgq,https://api.spotify.com/v1/audio-analysis/1RjU7UhRICmdFPKxCucLgq,274093,4,Hell on Earth (Front Lines)
110,0.775,0.795,5,-4.171,1,0.206,0.148,0.00119,0.0411,0.796,95.212,audio_features,4UZlEcQmkAeh4mYokk8TNs,spotify:track:4UZlEcQmkAeh4mYokk8TNs,https://api.spotify.com/v1/tracks/4UZlEcQmkAeh4mYokk8TNs,https://api.spotify.com/v1/audio-analysis/4UZlEcQmkAeh4mYokk8TNs,246493,4,Let's Ride
111,0.783,0.817,7,-5.341,0,0.11,0.162,0.0,0.0745,0.841,174.251,audio_features,0BUl2dAZtoyQnpQRQT3yiy,spotify:track:0BUl2dAZtoyQnpQRQT3yiy,https://api.spotify.com/v1/tracks/0BUl2dAZtoyQnpQRQT3yiy,https://api.spotify.com/v1/audio-analysis/0BUl2dAZtoyQnpQRQT3yiy,239227,4,Heaven Ain't Hard 2 Find
112,0.769,0.818,6,-1.385,0,0.192,0.263,0.0,0.0787,0.918,88.017,audio_features,4E5IFAXCob6QqZaJMTw5YN,spotify:track:4E5IFAXCob6QqZaJMTw5YN,https://api.spotify.com/v1/tracks/4E5IFAXCob6QqZaJMTw5YN,https://api.spotify.com/v1/audio-analysis/4E5IFAXCob6QqZaJMTw5YN,240800,4,Poppin' Them Thangs
113,0.823,0.539,11,-7.502,0,0.246,0.121,1.82e-05,0.154,0.84,90.658,audio_features,41OxaMCY6gMKILoNVd2hdP,spotify:track:41OxaMCY6gMKILoNVd2hdP,https://api.spotify.com/v1/tracks/41OxaMCY6gMKILoNVd2hdP,https://api.spotify.com/v1/audio-analysis/41OxaMCY6gMKILoNVd2hdP,206573,4,(Holy Matrimony) Letter To The Firm
